"State","Began.to.reopen.businesses","Closed.restaurants.except.take.out","Reopen.restaurants","Re.Close.Bars.Statewide","Date.of.Emergency","Shelter.in.Place"
"Alabama","2020-04-30","2020-03-19","2020-05-11",NA,"2020-03-13","2020-04-05"
"Alaska","2020-04-24","2020-03-18","2020-04-24",NA,"2020-03-11","2020-03-29"
"Arizona","2020-05-08","2020-03-20","2020-05-11","2020-06-29","2020-03-11","2020-04-01"
"Arkansas","2020-05-04","2020-03-19","2020-05-11",NA,"2020-03-11",NA
"California","2020-05-08","2020-03-19",NA,NA,"2020-03-06","2020-03-20"
"Colorado","2020-05-01","2020-03-17","2020-05-27","2020-06-30","2020-03-10","2020-03-26"
"Connecticut","2020-05-20","2020-03-16","2020-05-20",NA,"2020-03-10","2020-03-24"
"Delaware","2020-05-08","2020-03-16","2020-06-01",NA,"2020-03-12","2020-03-25"
"DistrictofColumbia","2020-05-29","2020-03-16","2020-05-29",NA,"2020-03-11","2020-04-01"
"Florida","2020-05-18","2020-03-20","2020-05-18","2020-06-26","2020-03-05","2020-04-03"
"Georgia","2020-05-01","2020-04-03","2020-04-27",NA,"2020-03-13","2020-04-03"
"Hawaii","2020-05-07","2020-03-17","2020-06-05",NA,"2020-03-10","2020-03-25"
"Idaho","2020-05-01","2020-03-25","2020-05-16",NA,"2020-03-13","2020-03-25"
"Illinois","2020-05-29","2020-03-16","2020-05-29",NA,"2020-03-09","2020-03-22"
"Indiana","2020-05-18","2020-03-16","2020-05-18",NA,"2020-03-06","2020-03-25"
"Iowa","2020-05-15","2020-03-17","2020-05-15",NA,"2020-03-09",NA
"Kansas","2020-05-04","2020-03-30","2020-05-04",NA,"2020-03-12","2020-03-30"
"Kentucky","2020-05-11","2020-03-16","2020-05-22",NA,"2020-03-06","2020-03-27"
"Louisiana","2020-05-01","2020-03-17","2020-05-01",NA,"2020-03-11","2020-03-24"
"Maine","2020-05-01","2020-03-18","2020-06-01",NA,"2020-03-15","2020-04-02"
"Maryland","2020-05-15","2020-03-16","2020-05-29",NA,"2020-03-05","2020-03-31"
"Massachusetts","2020-05-18","2020-03-17","2020-06-08",NA,"2020-03-10","2020-03-24"
"Michigan","2020-05-26","2020-03-16",NA,NA,"2020-03-10","2020-03-24"
"Minnesota","2020-04-27","2020-03-17","2020-06-01",NA,"2020-03-13","2020-03-28"
"Mississippi","2020-04-27","2020-03-24","2020-05-07",NA,"2020-03-14","2020-04-04"
"Missouri","2020-05-04","2020-03-23","2020-05-04",NA,"2020-03-13","2020-04-06"
"Montana","2020-04-27","2020-03-20","2020-05-04",NA,"2020-03-12","2020-03-28"
"Nebraska","2020-05-18","2020-04-03","2020-05-18",NA,"2020-03-13",NA
"Nevada","2020-05-09","2020-03-21","2020-05-09",NA,"2020-03-12","2020-04-01"
"NewHampshire","2020-05-11","2020-03-16","2020-05-18",NA,"2020-03-13","2020-03-28"
"NewJersey","2020-05-18","2020-03-16","2020-06-15",NA,"2020-03-09","2020-03-22"
"NewMexico","2020-05-15","2020-03-19","2020-06-01",NA,"2020-03-11","2020-03-24"
"NewYork","2020-05-15","2020-03-16",NA,NA,"2020-03-07","2020-03-23"
"NorthCarolina","2020-05-08","2020-03-17","2020-05-22",NA,"2020-03-10","2020-03-31"
"NorthDakota","2020-05-01","2020-03-20","2020-05-01",NA,"2020-03-13",NA
"Ohio","2020-05-04","2020-03-15","2020-05-15",NA,"2020-03-09","2020-03-24"
"Oklahoma","2020-04-24","2020-04-01","2020-05-01",NA,"2020-03-15",NA
"Oregon","2020-05-15","2020-03-17",NA,NA,"2020-03-08","2020-03-21"
"Pennsylvania","2020-06-05","2020-03-17","2020-06-05",NA,"2020-03-06","2020-04-02"
"RhodeIsland","2020-05-09","2020-03-17","2020-05-18",NA,"2020-03-09","2020-03-28"
"SouthCarolina","2020-04-20","2020-03-18","2020-05-04",NA,"2020-03-13","2020-04-08"
"SouthDakota",NA,NA,NA,NA,"2020-03-13",NA
"Tennessee","2020-05-01","2020-03-23","2020-04-27",NA,"2020-03-12","2020-04-01"
"Texas","2020-05-01","2020-03-21","2020-05-01","2020-06-26","2020-03-13","2020-04-02"
"Utah","2020-05-01","2020-03-19","2020-05-01",NA,"2020-03-07",NA
"Vermont","2020-04-27","2020-03-17","2020-05-22",NA,"2020-03-13","2020-03-26"
"Virginia","2020-05-29","2020-03-25","2020-05-29",NA,"2020-03-12","2020-03-25"
"Washington","2020-05-05","2020-03-16",NA,NA,"2020-02-29","2020-03-25"
"WestVirginia","2020-05-04","2020-03-18","2020-05-04",NA,"2020-03-16","2020-03-25"
"Wisconsin","2020-05-11","2020-03-17","2020-05-13",NA,"2020-03-12","2020-03-25"
"Wyoming","2020-05-01","2020-03-19","2020-05-15",NA,"2020-03-13",NA
